ADAMS, George Madison, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000035
ALBERT, William Julian, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000074
ALBRIGHT, Charles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000077
ALCORN, James Lusk, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000079
ALLISON, William Boyd, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000160
AMES, Adelbert, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000172
ANTHONY, Henry Bowen, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000262
ARCHER, Stevenson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000274
ARMSTRONG, Moses Kimball, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000283
ARTHUR, William Evans, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000304
ASHE, Thomas Samuel, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000309
ATKINS, John DeWitt Clinton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000327
AVERILL, John Thomas, http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000344
BANNING, Henry Blackstone, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000117
BARBER, Joel Allen, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000122
BARNUM, William Henry, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000166
BARRERE, Granville, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000173
BARRY, Henry W., http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000189
BASS, Lyman Kidder, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000221
BAYARD, Thomas Francis, Sr., http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000253
BECK, James Burnie, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000289
BEGOLE, Josiah Williams, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000316
BELL, Hiram Parks, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000336
BERRY, John, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000419
BIERY, James Soloman, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000450
BLAINE, James Gillespie, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000519
BLAND, Richard Parks, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000544
BLOUNT, James Henderson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000568
BOGY, Lewis Vital, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000595
BOREMAN, Arthur Inghram, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000638
BOUTWELL, George Sewel, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000674
BOWEN, Rees Tate, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000685
BRADLEY, Nathan Ball, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000744
BRIGHT, John Morgan, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000836
BROMBERG, Frederick George, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000864
BROOKS, James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000881
BROWN, John Young, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000933
BROWNLOW, William Gannaway, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000963
BUCKINGHAM, William Alfred, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001021
BUCKNER, Aylett Hawes, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001031
BUFFINTON, James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001040
BUNDY, Hezekiah Sanford, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001059
BURCHARD, Horatio Chapin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001070
BURLEIGH, John Holmes, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001107
BURROWS, Julius Caesar, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001142
BUTLER, Benjamin Franklin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001174
BUTLER, Roderick Randum, http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001188
CAIN, Richard Harvey, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000022
CALDWELL, Alexander, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000027
CALDWELL, John Henry, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000035
CAMERON, Simon, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000068
CANNON, George Quayle, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000119
CANNON, Joseph Gurney, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000121
CARPENTER, Lewis Cass, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000170
CARPENTER, Matthew Hale, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000171
CASON, Thomas Jefferson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000232
CASSERLY, Eugene, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000236
CAULFIELD, Bernard Gregory, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000255
CESSNA, John, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000265
CHAFFEE, Jerome Bunty, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000271
CHANDLER, Zachariah, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000299
CHIPMAN, Norton Parker, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000370
CHITTENDEN, Simeon Baldwin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000373
CLARK, Amos, Jr., http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000421
CLARK, John Bullock, Jr., http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000442
CLARKE, Freeman, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000461
CLAYTON, Charles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000493
CLAYTON, Powell, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000498
CLEMENTS, Isaac, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000507
CLYMER, Hiester, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000539
COBB, Clinton Levering, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000544
COBB, Stephen Alonzo, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000551
COBURN, John, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000558
COMINGO, Abram, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000658
CONGER, Omar Dwight, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000678
CONKLING, Roscoe, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000681
CONOVER, Simon Barclay, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000701
COOK, Philip, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000724
COOPER, Henry, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000751
CORWIN, Franklin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000789
COTTON, Aylett Rains, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000801
COX, Samuel Sullivan, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000839
CRAGIN, Aaron Harrison, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000852
CREAMER, Thomas James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000899
CRITTENDEN, Thomas Theodore, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000913
CROCKER, Alvah, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000916
CROOKE, Philip Schuyler, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000927
CROSSLAND, Edward, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000933
CROUNSE, Lorenzo, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000935
CROZIER, Robert, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000952
CRUTCHFIELD, William, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000961
CURTIS, Carlton Brandaga, http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001007
DANFORD, Lorenzo, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000028
DARRALL, Chester Bidwell, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000062
DAVIS, Alexander Mathews, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000091
DAVIS, Henry Gassaway, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000103
DAVIS, John James, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000119
DAWES, Henry Laurens, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000148
DE WITT, David Miller, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000285
DENNIS, George Robertson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000242
DOBBINS, Samuel Atkinson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000383
DONNAN, William G., http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000413
DORSEY, Stephen Wallace, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000441
DUELL, Rodolphus Holland, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000513
DUNNELL, Mark Hill, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000555
DURHAM, Milton Jameson, http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000572
EAMES, Benjamin Tucker, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000005
EATON, William Wallace, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000028
EDEN, John Rice, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000042
EDMUNDS, George Franklin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000056
ELDREDGE, Charles Augustus, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000103
ELKINS, Stephen Benton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000110
ELLIOTT, Robert Brown, http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000128
FARWELL, Charles Benjamin, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000037
FENTON, Reuben Eaton, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000077
FERRY, Orris Sanford, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000094
FERRY, Thomas White, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000095
FIELD, Moses Whelock, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000105
FINCK, William Edward, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000118
FLANAGAN, James Winright, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000186
FORT, Greenbury Lafayette, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000288
FOSTER, Charles, http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000299
